OrderNum,CustName,CustomerType,CustState
1104657,Murazik Inc.,Business,Arizona
1104706,Sean Baumbach ,Individual,Colorado
1104795,Murazik Inc.,Business,Arizona
1104802,Murazik Inc.,Business,Arizona
1104936,Jacobi LLC,Business,Arizona
1105005,Lonnie McDermott,Individual,Utah
1105033,Murazik Inc.,Business,Arizona
1105056,Spencer Educators,Business,Arizona
1105347,Layla Tremlett,Individual,Colorado
1105364,Murazik Inc.,Business,Arizona
1105420,Dare LLC,Business,Colorado
1105445,Grant LLC,Business,Arizona
1105491,Marilyn Skews,Individual,Arizona
1105517,Clever Industries,Business,Utah
1105691,Torphy Invisionaries,Business,Arizona
1105724,Margie Cavet,Individual,Colorado
1105870,McClure Inc.,Business,Utah
1100935,Spencer Educators,Individual,Delaware
1100971,Hettinger and Sons,Business,West Virginia
1100970,Rebeca Overington,Individual,Virginia
1100982,Kiehn LLC,Business,District of Columbia
1100984,Kutch Inc.,Business,Virginia
1101004,Ilaire Selvester,Individual,North Carolina
1101016,Blick Inc.,Business,Delaware
1101035,Gottlieb-Jenkins,Business,West Virginia
1101050,Robel Inc.,Business,Tennessee
1101073,Ellen Braun,Individual,North Carolina
1101083,Myrilla Deehan,Individual,West Virginia
1101084,Norry Colleymore,Individual,Tennessee
1101243,Feil LLC,Business,Maryland
1101276,The Lesch Company,Business,Maryland
1101293,Hillary Gilfoy,Individual,Kentucky
1101298,Jenkins LLC,Business,North Carolina
1101296,Zia Easeman,Individual,Tennessee
1101314,Domenico Boanas,Individual,District of Columbia
1101321,Lind Group,Business,District of Columbia
1101344,Swaniawski Group,Business,Virginia
1101368,SpencerInc.,Business,District of Columbia
1101379,Stiedemann Securities ,Business,Maryland
1101403,Lehner Inc.,Business,Tennessee
1101444,Witting Innovations,Business,Kentucky
1101519,Berke Risbrough,Individual,Virginia
1101544,Schamberger Inc.,Business,Virginia
1101618,Rau-Dickinson,Business,Kentucky
1101701,Ebba Teager,Individual,North Carolina
1101718,Elisha Collecott,Individual,West Virginia
1101736,Lehner Inc.,Business,Tennessee
1101771,Isador Gentsch,Individual,Kentucky
1101817,Kutch Inc.,Business,Virginia
1101835,Considine Group,Business,Virginia
1101871,Considine Group,Business,Virginia
1101873,Gusikowski Group,Business,North Carolina
1101899,Patin Carbery,Individual,Virginia
1101903,Tom McGettrick,Individual,West Virginia
1101915,Kemmer and Sons,Business,North Carolina
1101908,Steve Langosh,Individual,North Carolina
1101927,Kiehn LLC,Business,District of Columbia
1101929,Kiley Kordovani,Individual,District of Columbia
1102002,Kassulke-Schneider,Business,Tennessee
1102038,Gusikowski Group,Business,North Carolina
1102066,Witting Innovations,Business,Kentucky
1102084,Rafa Richarz,Individual,District of Columbia
1102089,Robel Inc.,Business,Tennessee
1102104,Swaniawski Group,Business,Virginia
1102120,Rheba O'Bradden,Individual,District of Columbia
1102143,King Inc.,Business,Tennessee
1102156,Robel Inc.,Business,Tennessee
1102178,Brittany Monahan,Individual,Virginia
1102183,Aleen Petschelt,Individual,Virginia
1102207,Matti Petyakov,Individual,District of Columbia
1102225,Lind Group,Business,District of Columbia
1102291,Verne Goad,Individual,Maryland
1102300,Swaniawski Group,Business,Virginia
1102345,Jenkins LLC,Business,North Carolina
1102358,Feil LLC,Business,Maryland
1102397,Witting Innovations,Business,Kentucky
1102409,Considine Group,Business,Virginia
1102430,Neala Haslock,Individual,District of Columbia
1102442,Kemmer and Sons,Business,North Carolina
1102445,Rolf Goble,Individual,Virginia
1102470,West Technologies,Business,West Virginia
1102553,Kiehn LLC,Business,District of Columbia
1102560,Torey Broader,Individual,West Virginia
1102609,Collier and Sons,Business,Tennessee
1102610,Considine Group,Business,Virginia
1102630,Evanne Kornel,Individual,Virginia
1102625,Fannie Bwye,Individual,Kentucky
1102633,Volkman LLC,Business,Maryland
1102711,Gardner Nathan,Individual,Tennessee
1102734,Wes Ondricka,Individual,West Virginia
1102769,Metz Group,Business,Delaware
1102829,Runolfsdottir Group,Business,District of Columbia
1102837,Metz Group,Business,Delaware
1102852,Erdman LLC,Business,North Carolina
1102869,Kiehn LLC,Business,District of Columbia
1102879,Nolan Rogahn,Individual,Tennessee
1102920,Doyle-Koelpin,Business,District of Columbia
1102953,Mraz Ullrich Inc..,Business,Virginia
1102995,Robel Inc.,Business,Tennessee
1103072,Mraz Ullrich Inc..,Business,Virginia
1103068,Volkman LLC,Business,Maryland
1103121,Kuhlman Inc.,Business,Tennessee
1103140,Alva Weblin,Individual,North Carolina
1103143,Nikolaus LLC,Business,Virginia
1103182,Armstrong Resources,Business,Tennessee
1103202,Dody Lantiffe,Individual,Kentucky
1103256,Kris Bosco,Individual,North Carolina
1103319,Collier and Sons,Business,Tennessee
1103360,Sebastien Casbourne,Individual,Virginia
1103501,Collier and Sons,Business,Tennessee
1103509,Gusikowski Group,Business,North Carolina
1103572,Bednar IT Inc.,Business,North Carolina
1103594,Kiehn LLC,Business,District of Columbia
1103608,Considine Group,Business,Virginia
1103607,Swaniawski Group,Business,Virginia
1103625,Haag Group,Business,District of Columbia
1103660,Dugald Marskell,Individual,Virginia
1103710,King Inc.,Business,Tennessee
1103760,Modesta Cullabine,Individual,District of Columbia
1103825,Quigley Inc.,Business,Tennessee
1103837,Denesik Games,Business,Kentucky
1103839,King Inc.,Business,Tennessee
1103845,Ondrea Jado,Individual,North Carolina
1103847,Collier and Sons,Business,Tennessee
1103862,Stiedemann Securities ,Business,Maryland
1103877,Lana Keeling-Hamill,Individual,West Virginia
1103875,Volkman LLC,Business,Maryland
1103894,Blakelee Coventon,Individual,District of Columbia
1103931,Ratke and Sons,Business,North Carolina
1103942,Ethelda Revan,Individual,Virginia
1103941,Koo Godin,Individual,Virginia
1103974,Bethany Lakin,Individual,District of Columbia
1104016,Conn Inc.,Business,Kentucky
1104031,Berkie Lanchbury,Individual,Virginia
1104041,West Technologies,Business,West Virginia
1104062,Gaylord Bosco,Individual,Kentucky
1104081,Bella Ilett,Individual,District of Columbia
1104100,Balistreri Group,Business,Tennessee
1104096,Kasper Braybrookes,Individual,Virginia
1104135,Grant Jacobson,Individual,West Virginia
1104205,Abernathy LLC,Business,Virginia
1104210,Jamesy Heinzler,Individual,District of Columbia
1104212,Kassulke-Schneider,Business,Tennessee
1104243,Sporer LLC,Business,Virginia
1104263,Metz Group,Business,Delaware
1104264,Rau-Dickinson,Business,Kentucky
1104294,Constantina Veelers,Individual,Tennessee
1104324,McCullough LLC,Business,North Carolina
1104325,Rau-Dickinson,Business,Kentucky
1104345,Cirillo Winston,Individual,Tennessee
1104347,Lydia Arkow,Individual,West Virginia
1104358,Cullen Noar,Individual,West Virginia
1104394,Kassulke-Schneider,Business,Tennessee
1104391,Kristen Portchmouth,Individual,Delaware
1104430,Lehner Inc.,Business,Tennessee
1104480,Metz Group,Business,Delaware
1102922,Abernathy LLC,Business,Virginia
1104494,Stehr Group,Business,North Carolina
1104539,Feil LLC,Business,Maryland
1104540,Rosabelle Snowsill,Individual,Tennessee
1104569,Bella Ilett,Individual,District of Columbia
1104558,Metz Group,Business,Delaware
1104577,Block Security,Business,Virginia
1104597,Gerik Keedy,Individual,Virginia
1104600,Wilderman Inc.,Business,Kentucky
1104603,Roger McDermott,Individual,District of Columbia
1104609,Hedi Timny,Individual,Virginia
1104610,Iggy Bendel,Individual,Tennessee
1104665,Swaniawski Group,Business,Virginia
1104680,McCullough LLC,Business,North Carolina
1104684,Lehner Inc.,Business,Tennessee
1104754,Alethea Karczinski,Individual,North Carolina
1104782,Hand LLC,Business,Maryland
1104793,The TMC Company,Business,Tennessee
1104828,Stearne Found,Individual,Tennessee
1104862,Gabi Pilkinton,Individual,Virginia
1104873,Abernathy LLC,Business,Virginia
1104908,Feil LLC,Business,Maryland
1104915,Nikolaus LLC,Business,Virginia
1104945,Erdman LLC,Business,North Carolina
1104958,Delmore Isles,Individual,Maryland
1104963,Bednar IT Inc.,Business,North Carolina
1105000,The Lesch Company,Business,Maryland
1105019,Kiehn LLC,Business,District of Columbia
1105038,Page Knapp,Individual,West Virginia
1105046,Obadiah Champness,Individual,Tennessee
1105069,The TMC Company,Business,Tennessee
1105146,Jess Abbott,Individual,District of Columbia
1105206,Allard Kezor,Individual,Tennessee
1105263,Mraz Ullrich Inc..,Business,Virginia
1105274,King Inc.,Business,Tennessee
1105281,Swaniawski Group,Business,Virginia
1105303,Volkman LLC,Business,Maryland
1105309,Quigley Inc.,Business,Tennessee
1105338,Maynord Castane,Individual,Tennessee
1105358,Feil LLC,Business,Maryland
1105365,Stiedemann Securities ,Business,Maryland
1105374,Swaniawski Group,Business,Virginia
1105406,Kuhlman Inc.,Business,Tennessee
1105414,Gardy Heel,Individual,North Carolina
1105429,Virgie Huddart,Individual,Virginia
1105458,Karlie Truran,Individual,West Virginia
1105505,Collier and Sons,Business,Tennessee
1105525,Witting Innovations,Business,Kentucky
1105557,Jamison Currington,Individual,Maryland
1105632,Kassulke-Schneider,Business,Tennessee
1105641,Kutch Inc.,Business,Virginia
1105636,Margie Mee,Individual,Kentucky
1105657,Starlene Girodon,Individual,District of Columbia
1105688,Witting Innovations,Business,Kentucky
1105712,Stanwood Baelde,Individual,Tennessee
1105745,Ruddie Godber,Individual,Tennessee
1105769,Lotty Harlett,Individual,District of Columbia
1105775,McCullough LLC,Business,North Carolina
1105792,Abernathy LLC,Business,Virginia
1105795,Carlina Blazhevich,Individual,Kentucky
1105816,Kuhlman Inc.,Business,Tennessee
1105885,Arlen Kiehnlt,Individual,West Virginia
1101006,Hilpert Industries,Business,Minnesota
1101037,Cartwright LLC,Business,Iowa
1101058,Jessika Gaspard,Individual,Ohio
1101079,Kuvalis Group,Business,Ohio
1101134,Romaguera LLC,Business,Ohio
1101169,Green-Shields,Business,Minnesota
1101174,Alexis Armstrong,Individual,Ohio
1101177,Crooks Group,Business,Wisconsin
1101207,Pouros Inc.,Business,Michigan
1101252,Livvyy Albion,Individual,Ohio
1101288,Charleen Curedell,Individual,Iowa
1101364,Labadie Inc.,Business,Kansas
1101387,Garvey Paty,Individual,Ohio
1101399,The Wisoky Team,Business,Minnesota
1101424,Ulrikaumeko Romaint,Individual,Wisconsin
1101460,Vandervort LLC,Business,Ohio
1101462,Brewer Bastian,Individual,Indiana
1101465,Shaylynn Poure,Individual,Indiana
1101549,Bins Inc.,Business,Ohio
1101583,Moore LLC,Business,Indiana
1101589,Moore LLC,Business,Indiana
1101651,Flori Yewman,Individual,Michigan
1101670,Kuvalis Group,Business,Ohio
1101680,Durgan Group,Business,Indiana
1101686,Don Price,Individual,Michigan
1101707,Moore LLC,Business,Indiana
1101741,Riley Dooley,Individual,Illinois
1101760,Carter and Sons,Business,Iowa
1101786,Thiel Group,Business,Minnesota
1101799,Bill Braun,Individual,Minnesota
1101801,Shay Rowlin,Individual,Illinois
1101859,The Wisoky Team,Business,Minnesota
1101863,Resse Moen,Individual,Iowa
1101874,Koch LLC,Business,Ohio
1101887,Walker Group,Business,Minnesota
1101897,Koch LLC,Business,Ohio
1101912,Heller Inc.,Business,Minnesota
1101917,Hayes LLC,Business,Illinois
1101918,Jermain Boxell,Individual,Kansas
1101936,Dugald Hackly,Individual,Illinois
1101938,Lockman Group,Business,Kansas
1101950,Beier Inc.,Business,Michigan
1102021,Marvin Inc.,Business,Kansas
1102027,Bergstrom LLC,Business,Minnesota
1102046,Rubi Brandon,Individual,Illinois
1102080,Claretta Connochie,Individual,Illinois
1102111,Dolly Mante,Individual,Kansas
1102206,Jeane Hayfield,Individual,Kansas
1102215,Bergnaum Group,Business,Ohio
1102223,Ruecker LLC,Business,Indiana
1102268,Green-Shields,Business,Minnesota
1102274,Bergnaum Group,Business,Ohio
1102304,Crooks Group,Business,Wisconsin
1102308,Joe Casper,Individual,Kansas
1102369,Jesse Breitenberg,Individual,Minnesota
1102405,Nerissa Balshaw,Individual,Illinois
1102422,Nader LLC,Business,Ohio
1102473,Larry Hodkiewicz,Individual,Ohio
1102488,Catie Plain,Individual,Minnesota
1102577,Bergstrom LLC,Business,Minnesota
1102607,Charles Kitteman,Individual,Indiana
1102722,Bergnaum Group,Business,Ohio
1102724,Dietrich Engineering ,Business,Illinois
1102767,Odey Goodfellow,Individual,Illinois
1102779,Bernier Security,Business,Minnesota
1102890,Cartwright LLC,Business,Iowa
1102911,Cole Inc.,Business,Minnesota
1102925,Vannie Steagall,Individual,Iowa
1103052,Rancell Persehouse,Individual,Kansas
1103077,Aufderhar Tech,Business,Kansas
1103069,Carter and Sons,Business,Iowa
1103086,Marcus Schumm,Individual,Kansas
1103083,Rippin Industries,Business,Iowa
1103090,Chilton Halbeard,Individual,Ohio
1103172,Carter and Sons,Business,Iowa
1103164,Koch LLC,Business,Ohio
1103196,Corrie Keen,Individual,Michigan
1103200,Dru Bellini,Individual,Michigan
1103216,Rippin Industries,Business,Iowa
1103241,Tori MacGyver,Individual,Michigan
1103279,Beier Inc.,Business,Michigan
1103290,Beier Inc.,Business,Michigan
1103318,Lockman Group,Business,Kansas
1103425,Ammamaria Pittway,Individual,Michigan
1103432,Anderson LLC,Business,Ohio
1103444,Kenton Blackboro,Individual,Ohio
1103454,Hilpert Industries,Business,Minnesota
1103524,Bergstrom LLC,Business,Minnesota
1103576,Bernier Security,Business,Minnesota
1103615,Von West,Individual,Minnesota
1103711,Bryn Casotti,Individual,Ohio
1103723,Cole Inc.,Business,Minnesota
1103803,Waters Co.,Business,Indiana
1103819,Thiel Group,Business,Minnesota
1103843,Ellen Mattack,Individual,Michigan
1103867,Predovic LLC,Business,Iowa
1103906,Tudor Dryburgh,Individual,Kansas
1103939,Hudson LLC,Business,Ohio
1103963,Teador Piggford,Individual,Illinois
1104000,Antonio Endean,Individual,Michigan
1103996,Karee Wharfe,Individual,Illinois
1104044,Kessler Inc.,Business,Ohio
1104091,Bernier Security,Business,Minnesota
1104110,Gian Patience,Individual,Ohio
1104121,Olenolin Emerine,Individual,Illinois
1104178,Hammes Inc.,Business,Michigan
1104183,Fay LLC,Business,Kansas
1104197,Vandervort LLC,Business,Ohio
1104221,Perice Casswell,Individual,Illinois
1104265,Edwina Raeburn,Individual,Kansas
1104302,Sacha Smartman,Individual,Kansas
1104320,Cole Inc.,Business,Minnesota
1104326,Coral Nader,Individual,Iowa
1104341,Kip Shapcott,Individual,Illinois
1104353,Lockman Group,Business,Kansas
1104371,Durgan Group,Business,Indiana
1104379,Clay Misson,Individual,Iowa
1104425,Anderson LLC,Business,Ohio
1104472,Bashirian International,Business,Illinois
1104542,Rath LLC,Business,Minnesota
1104567,Koch LLC,Business,Ohio
1104575,Nisse Wykey,Individual,Ohio
1104692,Hammes Inc.,Business,Michigan
1104699,Crooks Group,Business,Wisconsin
1104760,Moore LLC,Business,Indiana
1104806,Green-Shields,Business,Minnesota
1104813,Hayes LLC,Business,Illinois
1104868,Allys Sparrowe,Individual,Ohio
1104867,Rippin Industries,Business,Iowa
1104876,Leuschke Inc.,Business,Indiana
1104916,Cartwright LLC,Business,Iowa
1104956,Bernier Security,Business,Minnesota
1105012,Walker Group,Business,Minnesota
1105068,Darda Luker,Individual,Minnesota
1105103,Cherin Attle,Individual,Kansas
1105105,Nader LLC,Business,Ohio
1105118,Green-Shields,Business,Minnesota
1105135,Marlane Botton,Individual,Illinois
1105198,Nader LLC,Business,Ohio
1105225,Beier Inc.,Business,Michigan
1105308,White Group,Business,Ohio
1105394,Beth Zieme,Individual,Kansas
1105391,Jermayne Trewett,Individual,Iowa
1105426,Bernier Security,Business,Minnesota
1105453,Bashirian International,Business,Illinois
1105455,Ullrich Inc.,Business,Kansas
1105492,Andria Laible,Individual,Michigan
1105529,Anderson LLC,Business,Ohio
1105543,Cynthie Govinlock,Individual,Kansas
1105547,Langosh Inc.,Business,Minnesota
1105580,Essy Greenacre,Individual,Michigan
1105598,Jessamyn Stowgill,Individual,Ohio
1105614,Predovic LLC,Business,Iowa
1105625,Susi O'Teague,Individual,Ohio
1105621,Ullrich Inc.,Business,Kansas
1105643,Pixelford Photography,Business,Indiana
1105658,Cole Inc.,Business,Minnesota
1105705,Carter and Sons,Business,Iowa
1105819,Heaney Group,Business,Illinois
1105846,Rip Edis,Individual,Ohio
1105900,Bernier Security,Business,Minnesota
1100939,Turcotte Corp,Business,New York
1101027,Germaine Silk,Individual,New York
1101036,David Powlowski,Individual,Connecticut
1101061,Bauch Group,Business,Pennsylvania
1101108,Stoltenberg LLC,Business,New York
1101120,Smith Technologies,Business,New York
1101131,Eldon Eloi,Individual,Massachusetts
1101150,Treutel Group,Business,New York
1101155,D'Amore LLC,Business,Pennsylvania
1101163,LMD Resources,Business,New Hampshire
1101267,Hammy Eldin,Individual,New Jersey
1101291,Cummings LLC,Business,New York
1101323,Thompson Inc.,Business,Massachusetts
1101355,Dickens LLC,Business,Connecticut
1101392,Jennifer Stanton,Individual,New York
1101500,Leeann Samuels,Individual,New York
1101538,Tammy Caird,Individual,New York
1101545,Stokes Electronics,Business,New Hampshire
1101579,Johnson LLC,Business,New Jersey
1101578,Kreiger LLC,Business,New York
1101602,Kuhic Inc.,Business,Connecticut
1101619,LMD Resources,Business,New Hampshire
1101646,Schiller LLC,Business,Pennsylvania
1101657,Koepp Inc.,Business,Pennsylvania
1101679,Schiller LLC,Business,Pennsylvania
1101735,Wilkinson LLC,Business,Massachusetts
1101742,Dorrie Jay,Individual,New York
1101744,Schiller LLC,Business,Pennsylvania
1101784,Astrid Victoria,Individual,New Jersey
1101811,Prudi Sherlock,Individual,New York
1101854,Annnora De Witt,Individual,New York
1101913,Deb Moore,Individual,Massachusetts
1101914,Gerhold Group,Business,New York
1101983,Rice Inc.,Business,New York
1101992,Sharona Allbon,Individual,New Jersey
1102017,Stoltenberg LLC,Business,New York
1102028,Goodwin Inc.,Business,New York
1102068,Koepp Inc.,Business,Pennsylvania
1102127,Dickens LLC,Business,Connecticut
1102155,Juanita Jerred,Individual,New York
1102173,River Heaney,Individual,New York
1102224,Stokes Electronics,Business,New Hampshire
1102239,Cummings LLC,Business,New York
1102277,McGlynn Group,Business,New York
1102317,Shelley Varndall,Individual,Pennsylvania
1102332,Dickens LLC,Business,Connecticut
1102372,Lemke LLC,Business,Massachusetts
1102389,Raleigh Arlt,Individual,Pennsylvania
1102423,Turcotte Corp,Business,New York
1102434,Mitchell Beatty,Individual,New York
1102482,Swift Inc.,Business,New York
1102491,Johnson LLC,Business,New Jersey
1102511,Cummings LLC,Business,New York
1102576,Rick Spadaro,Individual,Pennsylvania
1102606,Thompson Inc.,Business,Massachusetts
1102638,Ravid Cockayme,Individual,Pennsylvania
1102669,Waelchi Inc.,Business,New York
1102716,Hilly Hovert,Individual,New York
1102793,Sharline Thorpe,Individual,New York
1102863,Hahn-Hand,Business,Massachusetts
1102932,Baxie Witch,Individual,New York
1102945,Schaefer Inc.,Business,Massachusetts
1102972,Stokes Electronics,Business,New Hampshire
1102983,Rice Inc.,Business,New York
1103011,Rice Inc.,Business,New York
1103047,Harry Kirlin,Individual,New York
1103076,Deckow Inc.,Business,New York
1103136,Treutel Group,Business,New York
1103192,Dickens LLC,Business,Connecticut
1103214,Rice Inc.,Business,New York
1103260,Schaefer Inc.,Business,Massachusetts
1103270,Schaefer Inc.,Business,Massachusetts
1103278,Bartell-Kassulke,Individual,New York
1103282,Bahringer Group,Business,New Hampshire
1103358,Fowler Stoodley,Individual,New Jersey
1103372,Cummings LLC,Business,New York
1103373,Dolli Rove,Individual,Massachusetts
1103402,LMD Resources,Business,New Hampshire
1103394,Samantha Archbald,Individual,New York
1103400,Schaefer Inc.,Business,Massachusetts
1103443,Maggio LLC,Business,Pennsylvania
1103470,Wilkinson LLC,Business,Massachusetts
1103512,Tally Hoble,Individual,New York
1103554,Ulrikaumeko Mangin,Individual,Connecticut
1103575,Wilkinson LLC,Business,Massachusetts
1103579,Iormina Burghall,Individual,Pennsylvania
1103618,Treutel Group,Business,New York
1103741,Veum Group,Business,New York
1103766,Waelchi Inc.,Business,New York
1103807,Johnson LLC,Business,New Jersey
1103829,Funk and Sons,Business,Connecticut
1103833,Larissa Cummerata,Individual,New Jersey
1103860,Hirsch Nester,Individual,New York
1103986,Cruickshank LLC,Business,New York
1103990,Leonora Pollicatt,Individual,Massachusetts
1104034,Belicia Strafford,Individual,New Jersey
1104055,Altenwerth and Sons,Business,New York
1104061,Zelig Ranson,Individual,New Jersey
1104136,Homenick Group,Business,New York
1104142,Stroman Inc.,Business,Pennsylvania
1104225,Ingrid Cypler,Individual,New York
1104229,Skiles Inc.,Business,New York
1104269,LMD Resources,Business,New Hampshire
1104303,Turcotte Corp,Business,New York
1104316,Smith Technologies,Business,New York
1104321,Walliw Giacobbo,Individual,Massachusetts
1104407,Inesita Prier,Individual,New York
